PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Age_group,Expenditure,No_spending,Group,Group_size,Solo,Cabin_deck,Cabin_number,Cabin_side,Cabin_region1,Cabin_region2,Cabin_region3,Cabin_region4,Cabin_region5,Cabin_region6,Cabin_region7,Family_size
0001_01,Europa,False,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,Age_31-50,0.0,1,1,1,1,B,0.0,P,1,0,0,0,0,0,0,4
0002_01,Earth,False,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,Age_18-25,736.0,0,2,1,1,F,0.0,S,1,0,0,0,0,0,0,4
0003_01,Europa,False,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,Age_51+,10383.0,0,3,2,0,A,0.0,S,1,0,0,0,0,0,0,7
0003_02,Europa,False,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,Age_31-50,5176.0,0,3,2,0,A,0.0,S,1,0,0,0,0,0,0,7
0004_01,Earth,False,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,Age_13-17,1091.0,0,4,1,1,F,1.0,S,1,0,0,0,0,0,0,9
0005_01,Earth,False,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,Age_31-50,774.0,0,5,1,1,F,0.0,P,1,0,0,0,0,0,0,10
0006_01,Earth,False,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,Age_26-30,1584.0,0,6,2,0,F,2.0,S,1,0,0,0,0,0,0,9
0006_02,Earth,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Age_26-30,0.0,1,6,2,0,G,0.0,S,1,0,0,0,0,0,0,9
0007_01,Earth,False,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,Age_31-50,1018.0,0,7,1,1,F,3.0,S,1,0,0,0,0,0,0,5
0008_01,Europa,True,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,Age_13-17,0.0,1,8,3,0,B,1.0,P,1,0,0,0,0,0,0,3
0008_02,Europa,True,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,Age_31-50,0.0,1,8,3,0,B,1.0,P,1,0,0,0,0,0,0,3
0008_03,Europa,False,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,Age_31-50,8157.0,0,8,3,0,B,1.0,P,1,0,0,0,0,0,0,3
